image_path,specialty,dataset_source,split
med_routing_data/images/pathology_0000.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0001.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0002.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0003.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0004.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0005.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0006.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0007.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0008.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0009.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0010.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0011.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0012.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0013.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0014.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0015.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0016.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0017.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0018.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0019.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0020.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0021.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0022.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0023.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0024.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0025.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0026.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0027.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0028.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0029.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0030.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0031.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0032.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0033.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0034.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0035.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0036.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0037.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0038.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0039.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0040.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0041.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0042.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0043.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0044.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0045.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0046.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0047.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0048.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0049.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0050.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0051.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0052.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0053.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0054.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0055.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0056.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0057.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0058.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0059.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0060.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0061.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0062.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0063.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0064.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0065.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0066.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0067.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0068.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0069.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0070.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0071.jpg,pathology,PathVQA,test
med_routing_data/images/pathology_0072.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0073.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0074.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0075.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0076.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0077.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0078.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0079.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0080.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0081.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0082.jpg,pathology,PathVQA,train
med_routing_data/images/pathology_0083.jpg,pathology,PathVQA,train
